platform,algorithm,baseline_package_id,device_model,soc,os_version,version,level,payload_profile,iteration_index,input_size,compressed_size,compression_ratio,compress_us,throughput_mbps,input_hash,compressed_output_hash,decompress_us,decompressed_output_hash,roundtrip_hash_match,roundtrip_byte_match,status
macOS,zstd,compression-bench-zstd-1-high_compressibility-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,high_compressibility,3,65536,6808,9.626322,168,372.023810,2772eb7b5d580d96,2482c1c48df54ebf,8,2772eb7b5d580d96,true,true,passed
macOS,zstd,compression-bench-zstd-1-high_compressibility-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,high_compressibility,4,65536,6808,9.626322,116,538.793103,2772eb7b5d580d96,2482c1c48df54ebf,6,2772eb7b5d580d96,true,true,passed
macOS,zstd,compression-bench-zstd-1-high_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,high_compressibility,0,262144,26912,9.740785,478,523.012552,dcf9578e5a22ffc3,b6bced6572c959b0,16,dcf9578e5a22ffc3,true,true,passed
macOS,zstd,compression-bench-zstd-1-high_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,high_compressibility,1,262144,26912,9.740785,474,527.426160,dcf9578e5a22ffc3,b6bced6572c959b0,26,dcf9578e5a22ffc3,true,true,passed
macOS,zstd,compression-bench-zstd-1-high_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,high_compressibility,2,262144,26912,9.740785,467,535.331906,dcf9578e5a22ffc3,b6bced6572c959b0,16,dcf9578e5a22ffc3,true,true,passed
macOS,zstd,compression-bench-zstd-1-high_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,high_compressibility,3,262144,26912,9.740785,598,418.060201,dcf9578e5a22ffc3,b6bced6572c959b0,39,dcf9578e5a22ffc3,true,true,passed
macOS,zstd,compression-bench-zstd-1-high_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,high_compressibility,4,262144,26912,9.740785,593,421.585160,dcf9578e5a22ffc3,b6bced6572c959b0,39,dcf9578e5a22ffc3,true,true,passed
macOS,zstd,compression-bench-zstd-1-high_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,high_compressibility,0,1048576,110290,9.507444,1889,529.380625,c8116c5bb5e46840,dd844b8b0387a46a,131,c8116c5bb5e46840,true,true,passed
macOS,zstd,compression-bench-zstd-1-high_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,high_compressibility,1,1048576,110290,9.507444,1827,547.345375,c8116c5bb5e46840,dd844b8b0387a46a,84,c8116c5bb5e46840,true,true,passed
macOS,zstd,compression-bench-zstd-1-high_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,high_compressibility,2,1048576,110290,9.507444,1981,504.795558,c8116c5bb5e46840,dd844b8b0387a46a,129,c8116c5bb5e46840,true,true,passed
macOS,zstd,compression-bench-zstd-1-high_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,high_compressibility,3,1048576,110290,9.507444,1929,518.403318,c8116c5bb5e46840,dd844b8b0387a46a,104,c8116c5bb5e46840,true,true,passed
macOS,zstd,compression-bench-zstd-1-high_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,high_compressibility,4,1048576,110290,9.507444,1844,542.299349,c8116c5bb5e46840,dd844b8b0387a46a,65,c8116c5bb5e46840,true,true,passed
macOS,zstd,compression-bench-zstd-1-low_compressibility-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,low_compressibility,0,65536,59644,1.098786,244,256.147541,3d44fc31249b7fea,db84fd11a339c963,6,3d44fc31249b7fea,true,true,passed
