Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
TG_EndPhysics,1991,58.350444,1.514855,2.782496,2.782499,0.000003,36.901630,36.903916,0.002286,0.000003,0.003639,0.000761,0.000325,
Opaque,1997,58.200140,1.460712,2.590117,2.590134,0.000017,36.901677,36.902749,0.001072,0.000002,0.151289,0.000731,0.004700,
FActorComponentTickFunction::ExecuteTick,15920,466.667771,1.407458,2.790203,2.790347,0.000144,36.904396,36.904408,0.000012,0.000000,0.001599,0.000088,0.000123,
StatsNew Tick,1994,56.525291,1.372450,1.623240,1.623712,0.000472,36.898893,36.899485,0.000592,0.000072,0.049586,0.000688,0.001156,
FEngineLoop::PreInitPreStartupScreen,1,0.763052,1.310527,0.382782,1.693309,1.310527,0.382782,1.693309,1.310527,1.310527,1.310527,1.310527,0.000000,
FEngineLoop::PreInitPreStartupScreen.AfterStats,1,0.777829,1.285630,0.407674,1.693304,1.285630,0.407674,1.693304,1.285630,1.285630,1.285630,1.285630,0.000000,
Add To History,1994,56.526042,1.225034,1.623708,1.623712,0.000004,36.898959,36.899484,0.000525,0.000004,0.007516,0.000614,0.000299,
SlateDrawWindowsCommand,1991,56.557747,1.221248,1.695238,1.711317,0.016079,36.897362,36.898196,0.000834,0.000236,0.016079,0.000613,0.000398,
Dynamic shadow setup,3994,115.476182,1.183403,2.278340,2.278429,0.000089,36.864858,36.865559,0.000701,0.000044,0.001968,0.000296,0.000166,
FParallelAnimationEvaluationTask,1990,58.821765,1.156370,3.071359,3.072044,0.000685,36.901716,36.902374,0.000658,0.000150,0.003036,0.000581,0.000278,
Shadows,5991,173.152391,1.153296,2.302095,2.302108,0.000013,36.901413,36.901675,0.000262,0.000000,0.017114,0.000193,0.000325,
MeshDrawCommandPassSetupTask,8724,342.997779,1.137684,11.431071,11.431074,0.000003,36.865615,36.865638,0.000023,0.000001,0.003772,0.000130,0.000117,
Slate::DrawWindow_RenderThread,1991,56.557826,1.136896,1.695248,1.711262,0.016014,36.897372,36.898157,0.000785,0.000216,0.016014,0.000571,0.000392,
FPhysicsSolverAdvanceTask,1990,58.689077,1.095796,2.995498,2.997080,0.001582,36.902543,36.903000,0.000457,0.000180,0.002170,0.000551,0.000235,
Slate RT: Rendering,1991,56.583547,1.093142,1.711250,1.711262,0.000012,36.897386,36.898157,0.000771,0.000012,0.001637,0.000549,0.000181,
AnimGameThreadTime,7966,229.524299,1.085265,2.197223,2.197225,0.000002,36.903635,36.903788,0.000153,0.000001,0.001435,0.000136,0.000089,
Physics Tick,3983,117.466391,1.084462,2.995427,2.995455,0.000028,36.902552,36.902998,0.000446,0.000007,0.002094,0.000272,0.000295,
FWaitingQueue_Unpark_SignalWaitingThread,36750,1006.832406,1.054861,0.409021,0.409038,0.000017,36.909608,36.909634,0.000026,0.000000,0.001984,0.000029,0.000031,
PerformAnimEvaluation_WorkerThread,1990,58.821808,1.053588,3.071375,3.072035,0.000660,36.901730,36.902365,0.000635,0.000143,0.003014,0.000529,0.000254,
Slate RT: Draw Batches,1990,57.390208,1.003489,2.223248,2.223859,0.000611,36.897436,36.898153,0.000717,0.000180,0.001596,0.000504,0.000167,
CreateBoundShaderState time,61686,1778.367537,0.965639,2.228208,2.240665,0.012457,36.915073,36.915076,0.000003,0.000000,0.093715,0.000016,0.000806,
