Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
STAT_VulkanComputePSOCreate,11,113.494496,0.334500,1.536074,1.538197,0.002123,1.628840,1.632995,0.004155,0.002123,0.069470,0.030409,0.022769,
Mine PSO: CreateComputePipeline,11,113.496838,0.334484,1.536075,1.538197,0.002122,1.628840,1.632994,0.004154,0.002122,0.069468,0.030408,0.022769,
FirstPerson_AnimBP_C,1684,116.286666,0.328463,1.675216,1.675290,0.000074,16.156530,16.156670,0.000140,0.000055,0.002179,0.000195,0.000119,
STAT_FEngineLoop_Tick_SlateInput,841,57.973580,0.328385,1.648537,1.649769,0.001232,16.154959,16.155145,0.000186,0.000119,0.006905,0.000390,0.000313,
STAT_FEngineLoop_Tick_PollGameDeviceState,841,57.973748,0.303101,1.648551,1.649723,0.001172,16.154961,16.155117,0.000156,0.000107,0.006873,0.000360,0.000308,
Evolution/Kinematic update and forces,841,58.402826,0.296187,1.748380,1.749502,0.001122,16.148028,16.148368,0.000340,0.000043,0.002235,0.000352,0.000181,
FPBDRigidsEvolutionGBF::AdvanceOneTimeStep,840,58.333463,0.270750,1.748397,1.749500,0.001103,16.148047,16.148365,0.000318,0.000099,0.002216,0.000322,0.000174,
ExecuteBackgroundTask,2748,173.903589,0.268971,0.358455,0.358459,0.000004,16.160227,16.160314,0.000087,0.000000,0.004442,0.000098,0.000138,
FinishRenderViewTarget,840,57.560370,0.268317,1.529774,1.531132,0.001358,16.122790,16.123148,0.000358,0.000105,0.001529,0.000319,0.000114,
UObjectLoadAllCompiledInDefaultProperties,1,3.798714,0.263247,0.944126,1.207373,0.263247,0.944126,1.207373,0.263247,0.263247,0.263247,0.263247,0.000000,
STAT_PostProcessing_Process,840,57.560441,0.259077,1.529791,1.531131,0.001340,16.122800,16.123147,0.000347,0.000101,0.001520,0.000308,0.000111,
Stat_DrawDebugCanvas,839,58.223767,0.258537,1.725141,1.725619,0.000478,16.134494,16.135064,0.000570,0.000115,0.001088,0.000308,0.000093,
SK_FPGun,1682,113.942590,0.257888,1.400597,1.400640,0.000043,16.162288,16.162417,0.000129,0.000022,0.002183,0.000153,0.000130,
STAT_FRHICommandUpdateBuffer_Execute,10971,743.803418,0.253285,1.387393,1.387436,0.000043,16.137254,16.137258,0.000004,0.000000,0.000511,0.000023,0.000043,
RHIEndTransitions,32071,2099.628076,0.249392,0.862686,0.862726,0.000040,16.137293,16.137296,0.000003,0.000000,0.001373,0.000008,0.000022,
Occlusion,1692,116.630222,0.238659,1.628217,1.628318,0.000101,16.135593,16.135606,0.000013,0.000000,0.009977,0.000141,0.000297,
BP_FirstPersonPlayerController_C,842,57.063205,0.226787,1.400689,1.400711,0.000022,16.155532,16.156257,0.000725,0.000022,0.005278,0.000269,0.000202,
