Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
OcclusionCull,1634,58.082064,0.405567,1.996767,1.996772,0.000005,30.129156,30.129376,0.000220,0.000002,0.003674,0.000248,0.000281,
Evolution/Kinematic update and forces,1634,59.046048,0.391192,2.425117,2.425848,0.000731,30.098290,30.098434,0.000144,0.000050,0.003083,0.000239,0.000200,
PlayerTick,1633,58.612195,0.387079,2.274994,2.279014,0.004020,30.135946,30.136090,0.000144,0.000068,0.004020,0.000237,0.000170,
STAT_FDynamicRHI_LockBuffer,26277,946.024440,0.382135,2.360094,2.360107,0.000013,30.136332,30.136332,0.000000,0.000000,0.003587,0.000015,0.000072,
TP_Weapon,4908,176.879551,0.381106,2.390751,2.390774,0.000023,30.138412,30.138447,0.000035,0.000000,0.001329,0.000078,0.000078,
SConstraintCanvas,3268,117.258604,0.377465,2.273193,2.273303,0.000110,30.143129,30.143216,0.000087,0.000031,0.004231,0.000116,0.000117,
RefreshBoneTransforms,3269,115.918615,0.372627,1.935475,1.935507,0.000032,30.136286,30.136295,0.000009,0.000005,0.001496,0.000114,0.000118,
FStats::AdvanceFrame,1634,58.624022,0.368726,2.262355,2.263987,0.001632,30.134845,30.134888,0.000043,0.000005,0.003260,0.000226,0.000300,
SViewport_OnPaint,1634,58.629069,0.365122,2.273098,2.273321,0.000223,30.143031,30.143232,0.000201,0.000066,0.004318,0.000223,0.000138,
Game UI Paint,1634,58.629069,0.364341,2.273098,2.273321,0.000223,30.143032,30.143232,0.000200,0.000066,0.004318,0.000223,0.000138,
ParallelFor Task,3579,125.001690,0.363246,1.506834,1.506899,0.000065,30.138408,30.138447,0.000039,0.000000,0.021776,0.000101,0.000800,
FinishRenderViewTarget,1634,58.086419,0.363003,1.999845,2.000807,0.000962,30.130206,30.130345,0.000139,0.000062,0.001807,0.000222,0.000099,
TG_StartPhysics,1634,58.623837,0.360959,2.264789,2.264790,0.000001,30.137336,30.137410,0.000074,0.000001,0.001767,0.000221,0.000172,
FPBDRigidsEvolutionGBF::AdvanceOneTimeStep,1633,59.009944,0.360416,2.425131,2.425847,0.000716,30.098305,30.098433,0.000128,0.000063,0.003041,0.000221,0.000192,
