Name,Count,CountPerSecond,First,FirstSeconds,Last,LastSeconds,Minimum,Maximum,Mean,Deviation,
Shaders/JobCache/SearchAttempts,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Shaders/JobCache/Hits,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Shaders/JobCache/DDCRequests,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Shaders/JobCache/DDCHits,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Shaders/JobCache/DDCBytesRecieved,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Shaders/JobCache/DDCBytesSent,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/ResourceCreateCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/TextureCreateCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/TextureCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/TextureCacheSize,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/TextureCacheHitPercentage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TransientAllocator/BufferCreateCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/BufferCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/BufferCacheSize,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/BufferCacheHitPercentage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TransientAllocator/PageMapCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/PageAllocateCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/PageSpanCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/MemoryRangeCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/MemoryUsed,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/MemoryRequested,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/SerializedBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
MetaSound/OperatorPool/NumOperatorsInPool,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
MetaSound/OperatorPool/HitRatio,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
MetaSound/OperatorPool/WindowedHitRatio,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
